augmentation_techniques,p_augmentation,p_augmentation_per_technique,"f1_t
",f1_Accuracy,f1_AUC,f1_Precision,f1_Recall,f1_Specificity,f1_F1,"j_t
",j_Accuracy,j_AUC,j_Precision,j_Recall,j_Specificity,j_F1,"roc_t
",roc_Accuracy,roc_AUC,roc_Precision,roc_Recall,roc_Specificity,roc_F1
"['shear', 'flip', 'gaussian_noise', 'brightness']",0.3,0.8,0.449999988,0.90476191,0.712499976,0.25,0.5,0.925000012,0.333333343,0.344200432,0.642857134,0.8125,0.117647059,1,0.625,0.210526317,0.344200432,0.642857134,0.8125,0.117647059,1,0.625,0.210526317
"['flip', 'gaussian_noise']",0.5,0.8,0.400000006,0.90476191,0.712499976,0.25,0.5,0.925000012,0.333333343,0.333590031,0.714285731,0.612500012,0.083333336,0.5,0.725000024,0.142857149,0.333590031,0.714285731,0.612500012,0.083333336,0.5,0.725000024,0.142857149
"['shear', 'flip']",0.3,0.8,0.449999988,0.90476191,0.712499976,0.25,0.5,0.925000012,0.333333343,0.446290493,0.59523809,0.787500024,0.105263159,1,0.574999988,0.190476194,0.446859151,0.690476179,0.600000024,0.07692308,0.5,0.699999988,0.13333334
"['shear', 'brightness']",0.5,0.5,0.400000006,0.90476191,0.712499976,0.25,0.5,0.925000012,0.333333343,0.321041077,0.666666687,0.587499976,0.071428575,0.5,0.675000012,0.125,0.321041077,0.666666687,0.587499976,0.071428575,0.5,0.675000012,0.125
['shear'],0.3,0.5,0.349999994,0.90476191,0.712499976,0.25,0.5,0.925000012,0.333333343,0.3103773,0.523809552,0.75,0.090909094,1,0.5,0.166666672,0.313737273,0.619047642,0.5625,0.0625,0.5,0.625,0.111111112
"['gaussian_noise', 'brightness']",0.3,0.5,0.349999994,0.90476191,0.712499976,0.25,0.5,0.925000012,0.333333343,0.285953403,0.619047642,0.5625,0.0625,0.5,0.625,0.111111112,0.285953403,0.619047642,0.5625,0.0625,0.5,0.625,0.111111112
"['flip', 'gaussian_noise']",0.3,0.8,0.400000006,0.90476191,0.712499976,0.25,0.5,0.925000012,0.333333343,0.353234231,0.333333343,0.649999976,0.06666667,1,0.300000012,0.125,0.366013318,0.59523809,0.550000012,0.05882353,0.5,0.600000024,0.105263159
['flip'],0.3,0.5,0.400000006,0.90476191,0.712499976,0.25,0.5,0.925000012,0.333333343,0.31372574,0.380952388,0.675000012,0.071428575,1,0.349999994,0.13333334,0.319933206,0.523809552,0.512499988,0.050000001,0.5,0.524999976,0.090909094
"['shear', 'flip', 'brightness']",0.3,0.8,0.449999988,0.90476191,0.712499976,0.25,0.5,0.925000012,0.333333343,0.319760293,0.309523821,0.637499988,0.064516127,1,0.275000006,0.121212125,0.332952023,0.5,0.5,0.047619049,0.5,0.5,0.086956523
"['flip', 'gaussian_noise', 'brightness']",0.5,0.5,0.349999994,0.90476191,0.712499976,0.25,0.5,0.925000012,0.333333343,0.320496649,0.452380955,0.474999994,0.043478262,0.5,0.449999988,0.079999998,0.320496649,0.452380955,0.474999994,0.043478262,0.5,0.449999988,0.079999998
"['flip', 'brightness']",0.5,0.8,0.349999994,0.90476191,0.712499976,0.25,0.5,0.925000012,0.333333343,0.312173367,0.333333343,0.649999976,0.06666667,1,0.300000012,0.125,0.317000687,0.40476191,0.449999988,0.039999999,0.5,0.400000006,0.074074075
"['shear', 'flip', 'brightness']",0.3,0.5,0.349999994,0.857142866,0.6875,0.166666672,0.5,0.875,0.25,0.318444908,0.380952388,0.675000012,0.071428575,1,0.349999994,0.13333334,0.318444908,0.380952388,0.675000012,0.071428575,1,0.349999994,0.13333334
"['shear', 'brightness']",0.5,0.8,0.349999994,0.857142866,0.6875,0.166666672,0.5,0.875,0.25,0.329641819,0.428571433,0.462500006,0.041666668,0.5,0.425000012,0.07692308,0.340304166,0.666666687,0.587499976,0.071428575,0.5,0.675000012,0.125
"['flip', 'brightness']",0.5,0.5,0.400000006,0.833333313,0.675000012,0.142857149,0.5,0.850000024,0.222222224,0.336329997,0.59523809,0.787500024,0.105263159,1,0.574999988,0.190476194,0.359644592,0.833333313,0.675000012,0.142857149,0.5,0.850000024,0.222222224
"['shear', 'brightness']",0.3,0.5,0.349999994,0.833333313,0.675000012,0.142857149,0.5,0.850000024,0.222222224,0.333048046,0.785714269,0.649999976,0.111111112,0.5,0.800000012,0.181818187,0.333048046,0.785714269,0.649999976,0.111111112,0.5,0.800000012,0.181818187
['shear'],0.3,0.8,0.349999994,0.833333313,0.675000012,0.142857149,0.5,0.850000024,0.222222224,0.302833885,0.5,0.737500012,0.086956523,1,0.474999994,0.159999996,0.321842343,0.738095224,0.625,0.090909094,0.5,0.75,0.15384616
['brightness'],0.5,0.8,0.349999994,0.833333313,0.675000012,0.142857149,0.5,0.850000024,0.222222224,0.327083528,0.738095224,0.625,0.090909094,0.5,0.75,0.15384616,0.327083528,0.738095224,0.625,0.090909094,0.5,0.75,0.15384616
"['shear', 'flip', 'brightness']",0.5,0.8,0.349999994,0.833333313,0.675000012,0.142857149,0.5,0.850000024,0.222222224,0.332532942,0.666666687,0.587499976,0.071428575,0.5,0.675000012,0.125,0.332532942,0.666666687,0.587499976,0.071428575,0.5,0.675000012,0.125
"['shear', 'gaussian_noise', 'brightness']",0.3,0.5,0.349999994,0.833333313,0.675000012,0.142857149,0.5,0.850000024,0.222222224,0.329549164,0.666666687,0.587499976,0.071428575,0.5,0.675000012,0.125,0.329549164,0.666666687,0.587499976,0.071428575,0.5,0.675000012,0.125
"['shear', 'gaussian_noise']",0.5,0.8,0.300000012,0.642857134,0.8125,0.117647059,1,0.625,0.210526317,0.294359326,0.476190478,0.725000024,0.083333336,1,0.449999988,0.15384616,0.305093259,0.642857134,0.574999988,0.06666667,0.5,0.649999976,0.117647059
['flip'],0.5,0.5,0.349999994,0.809523821,0.662500024,0.125,0.5,0.824999988,0.200000003,0.327920437,0.5,0.5,0.047619049,0.5,0.5,0.086956523,0.337058157,0.666666687,0.587499976,0.071428575,0.5,0.675000012,0.125
['brightness'],0.5,0.5,0.349999994,0.809523821,0.662500024,0.125,0.5,0.824999988,0.200000003,0.310196698,0.5,0.5,0.047619049,0.5,0.5,0.086956523,0.340232611,0.642857134,0.574999988,0.06666667,0.5,0.649999976,0.117647059
['shear'],0.5,0.5,0.349999994,0.809523821,0.662500024,0.125,0.5,0.824999988,0.200000003,0.317158192,0.380952388,0.675000012,0.071428575,1,0.349999994,0.13333334,0.330321163,0.571428597,0.537500024,0.055555556,0.5,0.574999988,0.100000001
"['shear', 'flip']",0.5,0.5,0.300000012,0.571428597,0.774999976,0.100000001,1,0.550000012,0.181818187,0.295523524,0.476190478,0.725000024,0.083333336,1,0.449999988,0.15384616,0.303229123,0.642857134,0.8125,0.117647059,1,0.625,0.210526317
"['shear', 'brightness']",0.3,0.8,0.349999994,0.785714269,0.649999976,0.111111112,0.5,0.800000012,0.181818187,0.305318087,0.380952388,0.675000012,0.071428575,1,0.349999994,0.13333334,0.337832659,0.738095224,0.625,0.090909094,0.5,0.75,0.15384616
"['shear', 'gaussian_noise', 'brightness']",0.3,0.8,0.349999994,0.785714269,0.649999976,0.111111112,0.5,0.800000012,0.181818187,0.31903705,0.380952388,0.675000012,0.071428575,1,0.349999994,0.13333334,0.340020865,0.738095224,0.625,0.090909094,0.5,0.75,0.15384616
"['shear', 'gaussian_noise', 'brightness']",0.5,0.5,0.349999994,0.785714269,0.649999976,0.111111112,0.5,0.800000012,0.181818187,0.329908371,0.714285731,0.612500012,0.083333336,0.5,0.725000024,0.142857149,0.329908371,0.714285731,0.612500012,0.083333336,0.5,0.725000024,0.142857149
['gaussian_noise'],0.5,0.8,0.349999994,0.785714269,0.649999976,0.111111112,0.5,0.800000012,0.181818187,0.32447204,0.666666687,0.587499976,0.071428575,0.5,0.675000012,0.125,0.32447204,0.666666687,0.587499976,0.071428575,0.5,0.675000012,0.125
"['flip', 'brightness']",0.3,0.8,0.349999994,0.785714269,0.649999976,0.111111112,0.5,0.800000012,0.181818187,0.315132141,0.261904776,0.612500012,0.060606062,1,0.224999994,0.114285715,0.33256036,0.5,0.5,0.047619049,0.5,0.5,0.086956523
"['shear', 'flip']",0.3,0.5,0.300000012,0.547619045,0.762499988,0.095238097,1,0.524999976,0.173913047,0.303846896,0.642857134,0.574999988,0.06666667,0.5,0.649999976,0.117647059,0.303846896,0.642857134,0.574999988,0.06666667,0.5,0.649999976,0.117647059
"['shear', 'gaussian_noise']",0.5,0.5,0.349999994,0.761904776,0.637499988,0.100000001,0.5,0.774999976,0.166666672,0.337988228,0.619047642,0.5625,0.0625,0.5,0.625,0.111111112,0.35589394,0.761904776,0.637499988,0.100000001,0.5,0.774999976,0.166666672
"['flip', 'gaussian_noise']",0.5,0.5,0.349999994,0.761904776,0.637499988,0.100000001,0.5,0.774999976,0.166666672,0.342111617,0.690476179,0.600000024,0.07692308,0.5,0.699999988,0.13333334,0.342111617,0.690476179,0.600000024,0.07692308,0.5,0.699999988,0.13333334
['gaussian_noise'],0.3,0.5,0.300000012,0.5,0.737500012,0.086956523,1,0.474999994,0.159999996,0.315968961,0.619047642,0.5625,0.0625,0.5,0.625,0.111111112,0.337178528,0.761904776,0.637499988,0.100000001,0.5,0.774999976,0.166666672
['gaussian_noise'],0.5,0.5,0.300000012,0.5,0.737500012,0.086956523,1,0.474999994,0.159999996,0.300370395,0.547619045,0.762499988,0.095238097,1,0.524999976,0.173913047,0.310958236,0.642857134,0.574999988,0.06666667,0.5,0.649999976,0.117647059
"['gaussian_noise', 'brightness']",0.5,0.5,0.300000012,0.738095224,0.625,0.090909094,0.5,0.75,0.15384616,0.26486516,0.285714298,0.625,0.0625,1,0.25,0.117647059,0.294934243,0.738095224,0.625,0.090909094,0.5,0.75,0.15384616
"['shear', 'flip', 'gaussian_noise']",0.5,0.5,0.300000012,0.738095224,0.625,0.090909094,0.5,0.75,0.15384616,0.277232885,0.357142866,0.662500024,0.068965517,1,0.324999988,0.129032254,0.296495914,0.714285731,0.612500012,0.083333336,0.5,0.725000024,0.142857149
"['gaussian_noise', 'brightness']",0.3,0.8,0.349999994,0.714285731,0.612500012,0.083333336,0.5,0.725000024,0.142857149,0.350061089,0.714285731,0.612500012,0.083333336,0.5,0.725000024,0.142857149,0.350061089,0.714285731,0.612500012,0.083333336,0.5,0.725000024,0.142857149
['brightness'],0.3,0.8,0.300000012,0.690476179,0.600000024,0.07692308,0.5,0.699999988,0.13333334,0.309580088,0.714285731,0.612500012,0.083333336,0.5,0.725000024,0.142857149,0.309580088,0.714285731,0.612500012,0.083333336,0.5,0.725000024,0.142857149
['shear'],0.5,0.8,0.300000012,0.690476179,0.600000024,0.07692308,0.5,0.699999988,0.13333334,0.292167872,0.690476179,0.600000024,0.07692308,0.5,0.699999988,0.13333334,0.292167872,0.690476179,0.600000024,0.07692308,0.5,0.699999988,0.13333334
['gaussian_noise'],0.3,0.8,0.300000012,0.333333343,0.649999976,0.06666667,1,0.300000012,0.125,0.305961013,0.523809552,0.75,0.090909094,1,0.5,0.166666672,0.305961013,0.523809552,0.75,0.090909094,1,0.5,0.166666672
"['flip', 'gaussian_noise']",0.3,0.5,0.300000012,0.285714298,0.625,0.0625,1,0.25,0.117647059,0.296279371,0.285714298,0.625,0.0625,1,0.25,0.117647059,0.3211146,0.547619045,0.524999976,0.052631579,0.5,0.550000012,0.095238097
"['shear', 'gaussian_noise']",0.3,0.5,0.300000012,0.619047642,0.5625,0.0625,0.5,0.625,0.111111112,0.315278053,0.785714269,0.649999976,0.111111112,0.5,0.800000012,0.181818187,0.315278053,0.785714269,0.649999976,0.111111112,0.5,0.800000012,0.181818187
"['flip', 'brightness']",0.3,0.5,0.300000012,0.619047642,0.5625,0.0625,0.5,0.625,0.111111112,0.314287096,0.738095224,0.625,0.090909094,0.5,0.75,0.15384616,0.314287096,0.738095224,0.625,0.090909094,0.5,0.75,0.15384616
"['shear', 'flip']",0.5,0.8,0.349999994,0.238095239,0.600000024,0.05882353,1,0.200000003,0.111111112,0.35128811,0.357142866,0.662500024,0.068965517,1,0.324999988,0.129032254,0.354345858,0.547619045,0.524999976,0.052631579,0.5,0.550000012,0.095238097
['flip'],0.3,0.8,0.349999994,0.59523809,0.550000012,0.05882353,0.5,0.600000024,0.105263159,0.335953206,0.357142866,0.662500024,0.068965517,1,0.324999988,0.129032254,0.354883432,0.666666687,0.587499976,0.071428575,0.5,0.675000012,0.125
"['shear', 'flip', 'gaussian_noise']",0.3,0.5,0.300000012,0.59523809,0.550000012,0.05882353,0.5,0.600000024,0.105263159,0.294731081,0.5,0.5,0.047619049,0.5,0.5,0.086956523,0.294731081,0.5,0.5,0.047619049,0.5,0.5,0.086956523
['flip'],0.5,0.8,0.349999994,0.59523809,0.550000012,0.05882353,0.5,0.600000024,0.105263159,0.32687676,0.333333343,0.649999976,0.06666667,1,0.300000012,0.125,0.335335404,0.40476191,0.449999988,0.039999999,0.5,0.400000006,0.074074075
"['flip', 'gaussian_noise', 'brightness']",0.3,0.8,0.300000012,0.571428597,0.537500024,0.055555556,0.5,0.574999988,0.100000001,0.334869206,0.761904776,0.637499988,0.100000001,0.5,0.774999976,0.166666672,0.334869206,0.761904776,0.637499988,0.100000001,0.5,0.774999976,0.166666672
"['flip', 'gaussian_noise', 'brightness']",0.3,0.5,0.300000012,0.571428597,0.537500024,0.055555556,0.5,0.574999988,0.100000001,0.320254564,0.738095224,0.625,0.090909094,0.5,0.75,0.15384616,0.320254564,0.738095224,0.625,0.090909094,0.5,0.75,0.15384616
"['flip', 'gaussian_noise', 'brightness']",0.5,0.8,0.300000012,0.571428597,0.537500024,0.055555556,0.5,0.574999988,0.100000001,0.313767254,0.714285731,0.612500012,0.083333336,0.5,0.725000024,0.142857149,0.313767254,0.714285731,0.612500012,0.083333336,0.5,0.725000024,0.142857149
"['shear', 'flip', 'brightness']",0.5,0.5,0.300000012,0.571428597,0.537500024,0.055555556,0.5,0.574999988,0.100000001,0.293394208,0.571428597,0.537500024,0.055555556,0.5,0.574999988,0.100000001,0.293394208,0.571428597,0.537500024,0.055555556,0.5,0.574999988,0.100000001
"['shear', 'flip', 'gaussian_noise', 'brightness']",0.3,0.5,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.491829365,0.714285731,0.850000024,0.142857149,1,0.699999988,0.25,0.491914779,0.714285731,0.850000024,0.142857149,1,0.699999988,0.25
"['shear', 'flip', 'gaussian_noise']",0.3,0.8,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.452023566,0.666666687,0.824999988,0.125,1,0.649999976,0.222222224,0.452023566,0.666666687,0.824999988,0.125,1,0.649999976,0.222222224
"['shear', 'flip', 'gaussian_noise', 'brightness']",0.5,0.8,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.545729995,0.071428575,0.512499988,0.048780486,1,0.025,0.093023255,0.545959234,0.142857149,0.3125,0.027777778,0.5,0.125,0.052631579
"['shear', 'gaussian_noise']",0.3,0.8,0.300000012,0.5,0.5,0.047619049,0.5,0.5,0.086956523,0.330133915,0.785714269,0.649999976,0.111111112,0.5,0.800000012,0.181818187,0.330133915,0.785714269,0.649999976,0.111111112,0.5,0.800000012,0.181818187
['brightness'],0.3,0.5,0.300000012,0.5,0.5,0.047619049,0.5,0.5,0.086956523,0.325083107,0.690476179,0.600000024,0.07692308,0.5,0.699999988,0.13333334,0.325083107,0.690476179,0.600000024,0.07692308,0.5,0.699999988,0.13333334
"['gaussian_noise', 'brightness']",0.5,0.8,0.349999994,0.476190478,0.487500012,0.045454547,0.5,0.474999994,0.083333336,0.338396281,0.261904776,0.612500012,0.060606062,1,0.224999994,0.114285715,0.355319887,0.666666687,0.587499976,0.071428575,0.5,0.675000012,0.125
"['shear', 'flip', 'gaussian_noise']",0.5,0.8,0.300000012,0.452380955,0.474999994,0.043478262,0.5,0.449999988,0.079999998,0.316538006,0.619047642,0.5625,0.0625,0.5,0.625,0.111111112,0.316538006,0.619047642,0.5625,0.0625,0.5,0.625,0.111111112
"['shear', 'flip', 'gaussian_noise', 'brightness']",0.5,0.5,0.300000012,0.40476191,0.449999988,0.039999999,0.5,0.400000006,0.074074075,0.294734478,0.380952388,0.675000012,0.071428575,1,0.349999994,0.13333334,0.32998082,0.714285731,0.612500012,0.083333336,0.5,0.725000024,0.142857149
"['shear', 'gaussian_noise', 'brightness']",0.5,0.8,0.300000012,0.380952388,0.4375,0.03846154,0.5,0.375,0.071428575,0.338687897,0.761904776,0.637499988,0.100000001,0.5,0.774999976,0.166666672,0.338687897,0.761904776,0.637499988,0.100000001,0.5,0.774999976,0.166666672
