learning_rate,batch_size,dropout,weight_decay,gamma_fl,use_clinical_data,"f1_t
",f1_Accuracy,f1_AUC,f1_Precision,f1_Recall,f1_Specificity,f1_F1,"j_t
",j_Accuracy,j_AUC,j_Precision,j_Recall,j_Specificity,j_F1,"roc_t
",roc_Accuracy,roc_AUC,roc_Precision,roc_Recall,roc_Specificity,roc_F1
1e-05,8,0.1,0.001,2,True,0.25,0.4722222089767456,0.59375,0.1428571492433548,0.75,0.4375,0.23999999463558197,0.286774605512619,0.5555555820465088,0.53125,0.125,0.5,0.5625,0.20000000298023224,0.286774605512619,0.5555555820465088,0.53125,0.125,0.5,0.5625,0.20000000298023224
1e-05,8,0.1,0.001,2,False,0.30000001192092896,0.5,0.609375,0.15000000596046448,0.75,0.46875,0.25,0.2982649803161621,0.4722222089767456,0.59375,0.1428571492433548,0.75,0.4375,0.23999999463558197,0.2982649803161621,0.4722222089767456,0.59375,0.1428571492433548,0.75,0.4375,0.23999999463558197
1e-05,8,0.1,0.001,3,True,0.30000001192092896,0.5277777910232544,0.734375,0.190476194024086,1.0,0.46875,0.3199999928474426,0.3213972747325897,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136,0.3213972747325897,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136
1e-05,8,0.1,0.001,3,False,0.30000001192092896,0.4722222089767456,0.59375,0.1428571492433548,0.75,0.4375,0.23999999463558197,0.3102490305900574,0.4444444477558136,0.46875,0.10000000149011612,0.5,0.4375,0.1666666716337204,0.3329964280128479,0.5555555820465088,0.53125,0.125,0.5,0.5625,0.20000000298023224
1e-05,8,0.1,0.0001,2,True,0.4000000059604645,0.8333333134651184,0.46875,0.0,0.0,0.9375,,0.30991947650909424,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.33811426162719727,0.3333333432674408,0.40625,0.0833333358168602,0.5,0.3125,0.1428571492433548
1e-05,8,0.1,0.0001,2,False,0.3499999940395355,0.7777777910232544,0.65625,0.25,0.5,0.8125,0.3333333432674408,0.3398020565509796,0.5277777910232544,0.625,0.15789473056793213,0.75,0.5,0.260869562625885,0.3398020565509796,0.5277777910232544,0.625,0.15789473056793213,0.75,0.5,0.260869562625885
1e-05,8,0.1,0.0001,3,True,0.4000000059604645,0.6944444179534912,0.609375,0.1818181872367859,0.5,0.71875,0.2666666805744171,0.39483746886253357,0.6944444179534912,0.609375,0.1818181872367859,0.5,0.71875,0.2666666805744171,0.4056069254875183,0.6944444179534912,0.609375,0.1818181872367859,0.5,0.71875,0.2666666805744171
1e-05,8,0.1,0.0001,3,False,0.30000001192092896,0.3333333432674408,0.515625,0.11538461595773697,0.75,0.28125,0.20000000298023224,0.30610179901123047,0.4444444477558136,0.578125,0.13636364042758942,0.75,0.40625,0.23076923191547394,0.32342636585235596,0.5277777910232544,0.625,0.15789473056793213,0.75,0.5,0.260869562625885
1e-05,8,0.3,0.001,2,True,0.25,0.5,0.5,0.1111111119389534,0.5,0.5,0.1818181872367859,0.22057458758354187,0.4444444477558136,0.578125,0.13636364042758942,0.75,0.40625,0.23076923191547394,0.2327476292848587,0.5,0.609375,0.15000000596046448,0.75,0.46875,0.25
1e-05,8,0.3,0.001,2,False,0.25,0.3888888955116272,0.546875,0.125,0.75,0.34375,0.2142857164144516,0.26022103428840637,0.4444444477558136,0.578125,0.13636364042758942,0.75,0.40625,0.23076923191547394,0.2874335050582886,0.5,0.5,0.1111111119389534,0.5,0.5,0.1818181872367859
1e-05,8,0.3,0.001,3,True,0.30000001192092896,0.5277777910232544,0.625,0.15789473056793213,0.75,0.5,0.260869562625885,0.2936162054538727,0.5277777910232544,0.625,0.15789473056793213,0.75,0.5,0.260869562625885,0.32014310359954834,0.5,0.5,0.1111111119389534,0.5,0.5,0.1818181872367859
1e-05,8,0.3,0.001,3,False,0.4000000059604645,0.8888888955116272,0.5,,0.0,1.0,,0.36687618494033813,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.3892512321472168,0.8888888955116272,0.5,,0.0,1.0,
1e-05,8,0.3,0.0001,2,True,0.30000001192092896,0.3888888955116272,0.328125,0.05000000074505806,0.25,0.40625,0.0833333358168602,0.3052949607372284,0.5833333134651184,0.4375,0.07692307978868484,0.25,0.625,0.11764705926179886,0.3052949607372284,0.5833333134651184,0.4375,0.07692307978868484,0.25,0.625,0.11764705926179886
1e-05,8,0.3,0.0001,2,False,0.25,0.5277777910232544,0.625,0.15789473056793213,0.75,0.5,0.260869562625885,0.2359905242919922,0.4444444477558136,0.578125,0.13636364042758942,0.75,0.40625,0.23076923191547394,0.2664855122566223,0.5,0.5,0.1111111119389534,0.5,0.5,0.1818181872367859
1e-05,8,0.3,0.0001,3,True,0.30000001192092896,0.2222222238779068,0.5625,0.125,1.0,0.125,0.2222222238779068,0.3146941363811493,0.2777777910232544,0.484375,0.1071428582072258,0.75,0.21875,0.1875,0.3146941363811493,0.2777777910232544,0.484375,0.1071428582072258,0.75,0.21875,0.1875
1e-05,8,0.3,0.0001,3,False,0.3499999940395355,0.7222222089767456,0.625,0.20000000298023224,0.5,0.75,0.2857142984867096,0.3444022238254547,0.3888888955116272,0.546875,0.125,0.75,0.34375,0.2142857164144516,0.34678587317466736,0.5555555820465088,0.53125,0.125,0.5,0.5625,0.20000000298023224
1e-05,8,0.5,0.001,2,True,0.25,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068,0.258415549993515,0.4444444477558136,0.578125,0.13636364042758942,0.75,0.40625,0.23076923191547394,0.2718338966369629,0.5,0.609375,0.15000000596046448,0.75,0.46875,0.25
1e-05,8,0.5,0.001,2,False,0.30000001192092896,0.5277777910232544,0.625,0.15789473056793213,0.75,0.5,0.260869562625885,0.2872239351272583,0.4722222089767456,0.59375,0.1428571492433548,0.75,0.4375,0.23999999463558197,0.3175736665725708,0.5,0.5,0.1111111119389534,0.5,0.5,0.1818181872367859
1e-05,8,0.5,0.001,3,True,0.3499999940395355,0.5833333134651184,0.546875,0.13333334028720856,0.5,0.59375,0.21052631735801697,0.3646979331970215,0.6944444179534912,0.609375,0.1818181872367859,0.5,0.71875,0.2666666805744171,0.3646979331970215,0.6944444179534912,0.609375,0.1818181872367859,0.5,0.71875,0.2666666805744171
1e-05,8,0.5,0.001,3,False,0.3499999940395355,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136,0.3310495615005493,0.4722222089767456,0.59375,0.1428571492433548,0.75,0.4375,0.23999999463558197,0.3345361053943634,0.5,0.5,0.1111111119389534,0.5,0.5,0.1818181872367859
1e-05,8,0.5,0.0001,2,True,0.30000001192092896,0.5833333134651184,0.546875,0.13333334028720856,0.5,0.59375,0.21052631735801697,0.26301226019859314,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068,0.26301226019859314,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068
1e-05,8,0.5,0.0001,2,False,0.25,0.4722222089767456,0.59375,0.1428571492433548,0.75,0.4375,0.23999999463558197,0.2403954267501831,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068,0.2403954267501831,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068
1e-05,8,0.5,0.0001,3,True,0.30000001192092896,0.1666666716337204,0.53125,0.11764705926179886,1.0,0.0625,0.21052631735801697,0.32642069458961487,0.2222222238779068,0.5625,0.125,1.0,0.125,0.2222222238779068,0.34677088260650635,0.25,0.46875,0.1034482792019844,0.75,0.1875,0.1818181872367859
1e-05,8,0.5,0.0001,3,False,0.30000001192092896,0.5,0.609375,0.15000000596046448,0.75,0.46875,0.25,0.27254167199134827,0.4444444477558136,0.578125,0.13636364042758942,0.75,0.40625,0.23076923191547394,0.2756793797016144,0.4444444477558136,0.578125,0.13636364042758942,0.75,0.40625,0.23076923191547394
1e-05,16,0.1,0.001,2,True,0.4000000059604645,0.5555555820465088,0.3125,0.0,0.0,0.625,,0.3950907588005066,0.4722222089767456,0.265625,0.0,0.0,0.53125,,0.3950907588005066,0.4722222089767456,0.265625,0.0,0.0,0.53125,
1e-05,16,0.1,0.001,2,False,0.25,0.4722222089767456,0.59375,0.1428571492433548,0.75,0.4375,0.23999999463558197,0.23499444127082825,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068,0.26435256004333496,0.4722222089767456,0.484375,0.10526315867900848,0.5,0.46875,0.17391304671764374
1e-05,16,0.1,0.001,3,True,0.30000001192092896,0.25,0.46875,0.1034482792019844,0.75,0.1875,0.1818181872367859,0.3240875005722046,0.5277777910232544,0.625,0.15789473056793213,0.75,0.5,0.260869562625885,0.3240875005722046,0.5277777910232544,0.625,0.15789473056793213,0.75,0.5,0.260869562625885
1e-05,16,0.1,0.001,3,False,0.30000001192092896,0.3055555522441864,0.5,0.1111111119389534,0.75,0.25,0.19354838132858276,0.31867536902427673,0.4722222089767456,0.59375,0.1428571492433548,0.75,0.4375,0.23999999463558197,0.31867536902427673,0.4722222089767456,0.59375,0.1428571492433548,0.75,0.4375,0.23999999463558197
1e-05,16,0.1,0.0001,2,True,0.30000001192092896,0.3055555522441864,0.5,0.1111111119389534,0.75,0.25,0.19354838132858276,0.2722739279270172,0.2222222238779068,0.453125,0.10000000149011612,0.75,0.15625,0.1764705926179886,0.2818009853363037,0.25,0.46875,0.1034482792019844,0.75,0.1875,0.1818181872367859
1e-05,16,0.1,0.0001,2,False,0.30000001192092896,0.5277777910232544,0.625,0.15789473056793213,0.75,0.5,0.260869562625885,0.2760680019855499,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068,0.30745357275009155,0.5,0.5,0.1111111119389534,0.5,0.5,0.1818181872367859
1e-05,16,0.1,0.0001,3,True,0.44999998807907104,0.8333333134651184,0.46875,0.0,0.0,0.9375,,0.4188731014728546,0.7222222089767456,0.515625,0.125,0.25,0.78125,0.1666666716337204,0.4188731014728546,0.7222222089767456,0.515625,0.125,0.25,0.78125,0.1666666716337204
1e-05,16,0.1,0.0001,3,False,0.4000000059604645,0.8611111044883728,0.59375,0.3333333432674408,0.25,0.9375,0.2857142984867096,0.35339540243148804,0.5,0.609375,0.15000000596046448,0.75,0.46875,0.25,0.35850954055786133,0.4722222089767456,0.484375,0.10526315867900848,0.5,0.46875,0.17391304671764374
1e-05,16,0.3,0.001,2,True,0.3499999940395355,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5,0.3293420970439911,0.6944444179534912,0.609375,0.1818181872367859,0.5,0.71875,0.2666666805744171,0.3365876376628876,0.7222222089767456,0.625,0.20000000298023224,0.5,0.75,0.2857142984867096
1e-05,16,0.3,0.001,2,False,0.30000001192092896,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068,0.2921511232852936,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068,0.2921511232852936,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068
1e-05,16,0.3,0.001,3,True,0.30000001192092896,0.3888888955116272,0.546875,0.125,0.75,0.34375,0.2142857164144516,0.29077935218811035,0.3888888955116272,0.546875,0.125,0.75,0.34375,0.2142857164144516,0.3171320855617523,0.5,0.5,0.1111111119389534,0.5,0.5,0.1818181872367859
1e-05,16,0.3,0.001,3,False,0.3499999940395355,0.5,0.5,0.1111111119389534,0.5,0.5,0.1818181872367859,0.33063429594039917,0.4722222089767456,0.59375,0.1428571492433548,0.75,0.4375,0.23999999463558197,0.3420863747596741,0.5277777910232544,0.625,0.15789473056793213,0.75,0.5,0.260869562625885
1e-05,16,0.3,0.0001,2,True,0.3499999940395355,0.4444444477558136,0.578125,0.13636364042758942,0.75,0.40625,0.23076923191547394,0.35122421383857727,0.5,0.609375,0.15000000596046448,0.75,0.46875,0.25,0.3690871298313141,0.5277777910232544,0.515625,0.11764705926179886,0.5,0.53125,0.190476194024086
1e-05,16,0.3,0.0001,2,False,0.3499999940395355,0.5833333134651184,0.546875,0.13333334028720856,0.5,0.59375,0.21052631735801697,0.2812667787075043,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068,0.3035794794559479,0.5,0.609375,0.15000000596046448,0.75,0.46875,0.25
1e-05,16,0.3,0.0001,3,True,0.30000001192092896,0.2777777910232544,0.484375,0.1071428582072258,0.75,0.21875,0.1875,0.30575624108314514,0.3611111044883728,0.421875,0.08695652335882187,0.5,0.34375,0.14814814925193787,0.30575624108314514,0.3611111044883728,0.421875,0.08695652335882187,0.5,0.34375,0.14814814925193787
1e-05,16,0.3,0.0001,3,False,0.3499999940395355,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068,0.3456927537918091,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068,0.35920026898384094,0.5277777910232544,0.625,0.15789473056793213,0.75,0.5,0.260869562625885
1e-05,16,0.5,0.001,2,True,0.4000000059604645,0.8611111044883728,0.59375,0.3333333432674408,0.25,0.9375,0.2857142984867096,0.35500091314315796,0.3611111044883728,0.421875,0.08695652335882187,0.5,0.34375,0.14814814925193787,0.35500091314315796,0.3611111044883728,0.421875,0.08695652335882187,0.5,0.34375,0.14814814925193787
1e-05,16,0.5,0.001,2,False,0.3499999940395355,0.5555555820465088,0.53125,0.125,0.5,0.5625,0.20000000298023224,0.3107268512248993,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068,0.3308669626712799,0.4722222089767456,0.484375,0.10526315867900848,0.5,0.46875,0.17391304671764374
1e-05,16,0.5,0.001,3,True,0.3499999940395355,0.5277777910232544,0.515625,0.11764705926179886,0.5,0.53125,0.190476194024086,0.3193148970603943,0.5277777910232544,0.625,0.15789473056793213,0.75,0.5,0.260869562625885,0.32921794056892395,0.5277777910232544,0.625,0.15789473056793213,0.75,0.5,0.260869562625885
1e-05,16,0.5,0.001,3,False,0.3499999940395355,0.2777777910232544,0.484375,0.1071428582072258,0.75,0.21875,0.1875,0.36625584959983826,0.4444444477558136,0.578125,0.13636364042758942,0.75,0.40625,0.23076923191547394,0.3783370852470398,0.4722222089767456,0.484375,0.10526315867900848,0.5,0.46875,0.17391304671764374
1e-05,16,0.5,0.0001,2,True,0.25,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068,0.23601771891117096,0.3888888955116272,0.546875,0.125,0.75,0.34375,0.2142857164144516,0.25967085361480713,0.5,0.609375,0.15000000596046448,0.75,0.46875,0.25
1e-05,16,0.5,0.0001,2,False,0.3499999940395355,0.4722222089767456,0.484375,0.10526315867900848,0.5,0.46875,0.17391304671764374,0.34783533215522766,0.5,0.609375,0.15000000596046448,0.75,0.46875,0.25,0.34783533215522766,0.5,0.609375,0.15000000596046448,0.75,0.46875,0.25
1e-05,16,0.5,0.0001,3,True,0.30000001192092896,0.2777777910232544,0.484375,0.1071428582072258,0.75,0.21875,0.1875,0.30067506432533264,0.2777777910232544,0.484375,0.1071428582072258,0.75,0.21875,0.1875,0.3157714605331421,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068
1e-05,16,0.5,0.0001,3,False,0.3499999940395355,0.8333333134651184,0.46875,0.0,0.0,0.9375,,0.3094157576560974,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068,0.31097692251205444,0.4722222089767456,0.59375,0.1428571492433548,0.75,0.4375,0.23999999463558197
1e-05,32,0.1,0.001,2,True,0.30000001192092896,0.5833333134651184,0.546875,0.13333334028720856,0.5,0.59375,0.21052631735801697,0.2723678648471832,0.5,0.609375,0.15000000596046448,0.75,0.46875,0.25,0.2869042754173279,0.5,0.5,0.1111111119389534,0.5,0.5,0.1818181872367859
