version,learning_rate,batch_size,dropout,weight_decay,num_layers,hidden_size,gamma_fl,use_clinical_data,"f1_t
",f1_Accuracy,f1_AUC,f1_Precision,f1_Recall,f1_Specificity,f1_F1,"j_t
",j_Accuracy,j_AUC,j_Precision,j_Recall,j_Specificity,j_F1,"roc_t
",roc_Accuracy,roc_AUC,roc_Precision,roc_Recall,roc_Specificity,roc_F1
0,0.0001,2,0.3,0.0001,1,64,2,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.2711659073829651,0.3611111044883728,0.421875,0.08695652335882187,0.5,0.34375,0.14814814925193787,0.27118945121765137,0.4722222089767456,0.484375,0.10526315867900848,0.5,0.46875,0.17391304671764374
1,0.0001,2,0.3,0.0001,1,64,2,True,0.10000000149011612,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408,0.08905217051506042,0.9166666865348816,0.84375,0.6000000238418579,0.75,0.9375,0.6666666865348816,0.08905217051506042,0.9166666865348816,0.84375,0.6000000238418579,0.75,0.9375,0.6666666865348816
2,0.0001,2,0.3,0.0001,1,64,3,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.3145351707935333,0.5277777910232544,0.625,0.15789473056793213,0.75,0.5,0.260869562625885,0.3145351707935333,0.5277777910232544,0.625,0.15789473056793213,0.75,0.5,0.260869562625885
3,0.0001,2,0.3,0.0001,1,64,3,True,0.10000000149011612,0.8055555820465088,0.78125,0.3333333432674408,0.75,0.8125,0.4615384638309479,0.11121018975973129,0.9166666865348816,0.84375,0.6000000238418579,0.75,0.9375,0.6666666865348816,0.11121018975973129,0.9166666865348816,0.84375,0.6000000238418579,0.75,0.9375,0.6666666865348816
4,0.0001,2,0.3,0.0001,1,128,2,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.26681798696517944,0.4444444477558136,0.578125,0.13636364042758942,0.75,0.40625,0.23076923191547394,0.2668214440345764,0.4722222089767456,0.59375,0.1428571492433548,0.75,0.4375,0.23999999463558197
5,0.0001,2,0.3,0.0001,1,128,2,True,0.10000000149011612,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192,0.0971299484372139,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5,0.0971299484372139,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5
6,0.0001,2,0.3,0.0001,1,128,3,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.31202206015586853,0.3055555522441864,0.5,0.1111111119389534,0.75,0.25,0.19354838132858276,0.31202206015586853,0.3055555522441864,0.5,0.1111111119389534,0.75,0.25,0.19354838132858276
7,0.0001,2,0.3,0.0001,1,128,3,True,0.10000000149011612,0.8611111044883728,0.8125,0.4285714328289032,0.75,0.875,0.5454545617103577,0.10988882929086685,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5,0.10988882929086685,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5
8,0.0001,2,0.3,0.0001,1,256,2,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.23006752133369446,0.6666666865348816,0.59375,0.1666666716337204,0.5,0.6875,0.25,0.23002657294273376,0.3333333432674408,0.515625,0.11538461595773697,0.75,0.28125,0.20000000298023224
9,0.0001,2,0.3,0.0001,1,256,2,True,0.05000000074505806,0.9166666865348816,0.84375,0.6000000238418579,0.75,0.9375,0.6666666865348816,0.05187510699033737,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5,0.05187510699033737,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5
10,0.0001,2,0.3,0.0001,1,256,3,False,0.30000001192092896,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.30008411407470703,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.3007510006427765,0.5555555820465088,0.53125,0.125,0.5,0.5625,0.20000000298023224
11,0.0001,2,0.3,0.0001,1,256,3,True,0.10000000149011612,0.8055555820465088,0.78125,0.3333333432674408,0.75,0.8125,0.4615384638309479,0.11143950372934341,0.9166666865348816,0.84375,0.6000000238418579,0.75,0.9375,0.6666666865348816,0.11143950372934341,0.9166666865348816,0.84375,0.6000000238418579,0.75,0.9375,0.6666666865348816
12,0.0001,2,0.3,0.001,1,64,2,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.2653900384902954,0.1944444477558136,0.21875,0.03703703731298447,0.25,0.1875,0.06451612710952759,0.26539215445518494,0.3888888955116272,0.328125,0.05000000074505806,0.25,0.40625,0.0833333358168602
13,0.0001,2,0.3,0.001,1,64,2,True,0.10000000149011612,0.8333333134651184,0.796875,0.375,0.75,0.84375,0.5,0.1086544319987297,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192,0.11296611279249191,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192
14,0.0001,2,0.3,0.001,1,64,3,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.27918991446495056,0.8888888955116272,0.5,,0.0,1.0,,0.27898234128952026,0.7222222089767456,0.40625,0.0,0.0,0.8125,
15,0.0001,2,0.3,0.001,1,64,3,True,0.15000000596046448,0.9166666865348816,0.84375,0.6000000238418579,0.75,0.9375,0.6666666865348816,0.16224858164787292,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192,0.16224858164787292,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192
16,0.0001,2,0.3,0.001,1,128,2,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.24521338939666748,0.5277777910232544,0.40625,0.06666667014360428,0.25,0.5625,0.10526315867900848,0.24521338939666748,0.5277777910232544,0.40625,0.06666667014360428,0.25,0.5625,0.10526315867900848
17,0.0001,2,0.3,0.001,1,128,2,True,0.10000000149011612,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192,0.09553597122430801,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192,0.09553597122430801,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192
18,0.0001,2,0.3,0.001,1,128,3,False,0.30000001192092896,0.8333333134651184,0.46875,0.0,0.0,0.9375,,0.299058198928833,0.75,0.640625,0.2222222238779068,0.5,0.78125,0.3076923191547394,0.299058198928833,0.75,0.640625,0.2222222238779068,0.5,0.78125,0.3076923191547394
19,0.0001,2,0.3,0.001,1,128,3,True,0.30000001192092896,0.8333333134651184,0.796875,0.375,0.75,0.84375,0.5,0.3020068109035492,0.8888888955116272,0.828125,0.5,0.75,0.90625,0.6000000238418579,0.3020068109035492,0.8888888955116272,0.828125,0.5,0.75,0.90625,0.6000000238418579
20,0.0001,2,0.3,0.001,1,256,2,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.23030275106430054,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068,0.23030275106430054,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068
21,0.0001,2,0.3,0.001,1,256,2,True,0.10000000149011612,0.9166666865348816,0.84375,0.6000000238418579,0.75,0.9375,0.6666666865348816,0.10401718318462372,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192,0.10401718318462372,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192
22,0.0001,2,0.3,0.001,1,256,3,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.2987259030342102,0.7777777910232544,0.546875,0.1666666716337204,0.25,0.84375,0.20000000298023224,0.2987259030342102,0.7777777910232544,0.546875,0.1666666716337204,0.25,0.84375,0.20000000298023224
23,0.0001,2,0.3,0.001,1,256,3,True,0.10000000149011612,0.6944444179534912,0.71875,0.23076923191547394,0.75,0.6875,0.3529411852359772,0.1377820074558258,0.9444444179534912,0.859375,0.75,0.75,0.96875,0.75,0.1377820074558258,0.9444444179534912,0.859375,0.75,0.75,0.96875,0.75
24,0.0001,4,0.3,0.0001,1,64,2,False,0.25,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408,0.24600675702095032,0.6944444179534912,0.609375,0.1818181872367859,0.5,0.71875,0.2666666805744171,0.24600675702095032,0.6944444179534912,0.609375,0.1818181872367859,0.5,0.71875,0.2666666805744171
25,0.0001,4,0.3,0.0001,1,64,2,True,0.25,0.8055555820465088,0.78125,0.3333333432674408,0.75,0.8125,0.4615384638309479,0.25050219893455505,0.8333333134651184,0.796875,0.375,0.75,0.84375,0.5,0.25462281703948975,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5
26,0.0001,4,0.3,0.0001,1,64,3,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.32297104597091675,0.3888888955116272,0.21875,0.0,0.0,0.4375,,0.32297104597091675,0.3888888955116272,0.21875,0.0,0.0,0.4375,
27,0.0001,4,0.3,0.0001,1,64,3,True,0.20000000298023224,0.8888888955116272,0.5,,0.0,1.0,,0.17023587226867676,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408,0.17023587226867676,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408
28,0.0001,4,0.3,0.0001,1,128,2,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.2720791697502136,0.8333333134651184,0.46875,0.0,0.0,0.9375,,0.27206942439079285,0.6944444179534912,0.5,0.1111111119389534,0.25,0.75,0.1538461595773697
29,0.0001,4,0.3,0.0001,1,128,2,True,0.15000000596046448,0.8888888955116272,0.5,,0.0,1.0,,0.09073664247989655,0.9166666865348816,0.84375,0.6000000238418579,0.75,0.9375,0.6666666865348816,0.09073664247989655,0.9166666865348816,0.84375,0.6000000238418579,0.75,0.9375,0.6666666865348816
30,0.0001,4,0.3,0.0001,1,128,3,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.2955045700073242,0.3333333432674408,0.625,0.1428571492433548,1.0,0.25,0.25,0.295524001121521,0.4166666567325592,0.453125,0.095238097012043,0.5,0.40625,0.1599999964237213
31,0.0001,4,0.3,0.0001,1,128,3,True,0.15000000596046448,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408,0.12557832896709442,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5,0.12557832896709442,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5
32,0.0001,4,0.3,0.0001,1,256,2,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.240700364112854,0.2777777910232544,0.484375,0.1071428582072258,0.75,0.21875,0.1875,0.24092714488506317,0.6111111044883728,0.5625,0.1428571492433548,0.5,0.625,0.2222222238779068
33,0.0001,4,0.3,0.0001,1,256,2,True,0.05000000074505806,0.6944444179534912,0.71875,0.23076923191547394,0.75,0.6875,0.3529411852359772,0.06580831110477448,0.9166666865348816,0.84375,0.6000000238418579,0.75,0.9375,0.6666666865348816,0.06580831110477448,0.9166666865348816,0.84375,0.6000000238418579,0.75,0.9375,0.6666666865348816
34,0.0001,4,0.3,0.0001,1,256,3,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.290060430765152,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068,0.29013416171073914,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068
35,0.0001,4,0.3,0.0001,1,256,3,True,0.10000000149011612,0.8055555820465088,0.78125,0.3333333432674408,0.75,0.8125,0.4615384638309479,0.11735226213932037,0.9444444179534912,0.859375,0.75,0.75,0.96875,0.75,0.11735226213932037,0.9444444179534912,0.859375,0.75,0.75,0.96875,0.75
36,0.0001,4,0.3,0.001,1,64,2,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.27082034945487976,0.4166666567325592,0.671875,0.1599999964237213,1.0,0.34375,0.27586206793785095,0.27084454894065857,0.4166666567325592,0.671875,0.1599999964237213,1.0,0.34375,0.27586206793785095
37,0.0001,4,0.3,0.001,1,64,2,True,0.10000000149011612,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192,0.10302537679672241,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192,0.10302537679672241,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192
38,0.0001,4,0.3,0.001,1,64,3,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.31616777181625366,0.4166666567325592,0.453125,0.095238097012043,0.5,0.40625,0.1599999964237213,0.31616777181625366,0.4166666567325592,0.453125,0.095238097012043,0.5,0.40625,0.1599999964237213
39,0.0001,4,0.3,0.001,1,64,3,True,0.15000000596046448,0.9166666865348816,0.84375,0.6000000238418579,0.75,0.9375,0.6666666865348816,0.15966922044754028,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192,0.15966922044754028,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192
40,0.0001,4,0.3,0.001,1,128,2,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.2586666941642761,0.2777777910232544,0.484375,0.1071428582072258,0.75,0.21875,0.1875,0.2593143880367279,0.5833333134651184,0.4375,0.07692307978868484,0.25,0.625,0.11764705926179886
41,0.0001,4,0.3,0.001,1,128,2,True,0.10000000149011612,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192,0.10196492820978165,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192,0.10196492820978165,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192
42,0.0001,4,0.3,0.001,1,128,3,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.3237578272819519,0.75,0.53125,0.1428571492433548,0.25,0.8125,0.1818181872367859,0.32353049516677856,0.5833333134651184,0.546875,0.13333334028720856,0.5,0.59375,0.21052631735801697
43,0.0001,4,0.3,0.001,1,128,3,True,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.12644408643245697,0.8611111044883728,0.8125,0.4285714328289032,0.75,0.875,0.5454545617103577,0.13792474567890167,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192
44,0.0001,4,0.3,0.001,1,256,2,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.25464877486228943,0.2777777910232544,0.484375,0.1071428582072258,0.75,0.21875,0.1875,0.2546568810939789,0.4722222089767456,0.59375,0.1428571492433548,0.75,0.4375,0.23999999463558197
45,0.0001,4,0.3,0.001,1,256,2,True,0.05000000074505806,0.7222222089767456,0.734375,0.25,0.75,0.71875,0.375,0.06510404497385025,0.9444444179534912,0.859375,0.75,0.75,0.96875,0.75,0.06510404497385025,0.9444444179534912,0.859375,0.75,0.75,0.96875,0.75
46,0.0001,4,0.3,0.001,1,256,3,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.31203529238700867,0.4444444477558136,0.46875,0.10000000149011612,0.5,0.4375,0.1666666716337204,0.31203529238700867,0.4444444477558136,0.46875,0.10000000149011612,0.5,0.4375,0.1666666716337204
47,0.0001,4,0.3,0.001,1,256,3,True,0.10000000149011612,0.7777777910232544,0.765625,0.30000001192092896,0.75,0.78125,0.4285714328289032,0.11037801206111908,0.8611111044883728,0.8125,0.4285714328289032,0.75,0.875,0.5454545617103577,0.11917076259851456,0.9166666865348816,0.84375,0.6000000238418579,0.75,0.9375,0.6666666865348816
