0,learning_rate,batch_size,dropout,weight_decay,rnn_type,hidden_size,num_layers,use_clinical_data,"f1_t
",f1_Accuracy,f1_AUC,f1_Precision,f1_Recall,f1_Specificity,f1_F1,"j_t
",j_Accuracy,j_AUC,j_Precision,j_Recall,j_Specificity,j_F1,"roc_t
",roc_Accuracy,roc_AUC,roc_Precision,roc_Recall,roc_Specificity,roc_F1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.0,0.0001,1,0.1,0.001,gru,128,1,False,0.25,0.1388888955116272,0.40625,0.09090909361839294,0.75,0.0625,0.1621621549129486,0.2555859088897705,0.25,0.46875,0.1034482792019844,0.75,0.1875,0.1818181872367859,0.257022500038147,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068,,,,,,,,,,,,,,,
,0.0001,1,0.1,0.001,gru,128,1,True,0.10000000149011612,0.9444444179534912,0.859375,0.75,0.75,0.96875,0.75,0.09003295749425888,0.8888888955116272,0.828125,0.5,0.75,0.90625,0.6000000238418579,0.10644818097352982,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408,1.0,,,,,,,,,,,,,,
,0.0001,1,0.1,0.001,gru,256,1,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.1908208727836609,0.1388888955116272,0.40625,0.09090909361839294,0.75,0.0625,0.1621621549129486,0.19134312868118286,0.1388888955116272,0.40625,0.09090909361839294,0.75,0.0625,0.1621621549129486,,2.0,,,,,,,,,,,,,
,0.0001,1,0.1,0.001,gru,256,1,True,0.10000000149011612,0.8888888955116272,0.828125,0.5,0.75,0.90625,0.6000000238418579,0.12725533545017242,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192,0.10767088085412979,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5,,,3.0,,,,,,,,,,,,
,0.0001,1,0.1,0.001,gru,128,1,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.2789301872253418,0.1944444477558136,0.4375,0.09677419066429138,0.75,0.125,0.17142857611179352,0.28453025221824646,0.25,0.359375,0.07407407462596893,0.5,0.21875,0.12903225421905518,,,,4.0,,,,,,,,,,,
,0.0001,1,0.1,0.001,gru,128,1,True,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.27343082427978516,0.9166666865348816,0.84375,0.6000000238418579,0.75,0.9375,0.6666666865348816,0.27343082427978516,0.9166666865348816,0.84375,0.6000000238418579,0.75,0.9375,0.6666666865348816,,,,,5.0,,,,,,,,,,
,0.0001,1,0.1,0.001,gru,256,1,False,0.20000000298023224,0.1111111119389534,0.390625,0.0882352963089943,0.75,0.03125,0.15789473056793213,0.20690962672233582,0.1944444477558136,0.4375,0.09677419066429138,0.75,0.125,0.17142857611179352,0.21130622923374176,0.4722222089767456,0.484375,0.10526315867900848,0.5,0.46875,0.17391304671764374,,,,,,6.0,,,,,,,,,
,0.0001,1,0.1,0.001,gru,256,1,True,0.25,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408,0.22957871854305267,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192,0.22957871854305267,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192,,,,,,,7.0,,,,,,,,
,0.0001,2,0.1,0.001,gru,128,1,False,0.20000000298023224,0.5,0.609375,0.15000000596046448,0.75,0.46875,0.25,0.17571507394313812,0.4444444477558136,0.578125,0.13636364042758942,0.75,0.40625,0.23076923191547394,0.17571507394313812,0.4444444477558136,0.578125,0.13636364042758942,0.75,0.40625,0.23076923191547394,,,,,,,,8.0,,,,,,,
,0.0001,2,0.1,0.001,gru,128,1,True,0.15000000596046448,0.5,0.609375,0.15000000596046448,0.75,0.46875,0.25,0.14532899856567383,0.5,0.609375,0.15000000596046448,0.75,0.46875,0.25,0.14532899856567383,0.5,0.609375,0.15000000596046448,0.75,0.46875,0.25,,,,,,,,,9.0,,,,,,
,0.0001,2,0.1,0.001,gru,256,1,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.2133750468492508,0.1388888955116272,0.515625,0.11428571492433548,1.0,0.03125,0.20512820780277252,0.2133750468492508,0.1388888955116272,0.515625,0.11428571492433548,1.0,0.03125,0.20512820780277252,,,,,,,,,,10.0,,,,,
,0.0001,2,0.1,0.001,gru,256,1,True,0.15000000596046448,0.7222222089767456,0.84375,0.2857142984867096,1.0,0.6875,0.4444444477558136,0.1786925345659256,0.9444444179534912,0.859375,0.75,0.75,0.96875,0.75,0.1786925345659256,0.9444444179534912,0.859375,0.75,0.75,0.96875,0.75,,,,,,,,,,,11.0,,,,
,0.0001,2,0.1,0.001,gru,128,1,False,0.30000001192092896,0.8333333134651184,0.578125,0.25,0.25,0.90625,0.25,0.20486442744731903,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068,0.20486442744731903,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068,,,,,,,,,,,,12.0,,,
,0.0001,2,0.1,0.001,gru,128,1,True,0.25,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408,0.25596198439598083,0.8888888955116272,0.5,,0.0,1.0,,0.2495986670255661,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408,,,,,,,,,,,,,13.0,,
,0.0001,2,0.1,0.001,gru,256,1,False,0.25,0.3055555522441864,0.5,0.1111111119389534,0.75,0.25,0.19354838132858276,0.28037095069885254,0.3055555522441864,0.5,0.1111111119389534,0.75,0.25,0.19354838132858276,0.2815952003002167,0.3055555522441864,0.5,0.1111111119389534,0.75,0.25,0.19354838132858276,,,,,,,,,,,,,,14.0,
,0.0001,2,0.1,0.001,gru,256,1,True,0.25,0.4722222089767456,0.59375,0.1428571492433548,0.75,0.4375,0.23999999463558197,0.25609108805656433,0.4722222089767456,0.59375,0.1428571492433548,0.75,0.4375,0.23999999463558197,0.25609108805656433,0.4722222089767456,0.59375,0.1428571492433548,0.75,0.4375,0.23999999463558197,,,,,,,,,,,,,,,15.0
